"Historical Data"
"From 2024-01-02 to 2024-12-16"
IE00BF0L3536
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/12/2024;5.32;5.42;5.32;5.39;5.39;2153653;1504;11609246;5.3905
12/12/2024;5.375;5.425;5.265;5.34;5.34;3411079;1955;18243653;5.3484
11/12/2024;5.405;5.45;5.335;5.375;5.375;2962635;1245;15927223;5.3760
10/12/2024;5.30;5.47;5.30;5.40;5.40;3935314;1958;21292783;5.4107
09/12/2024;5.27;5.355;5.25;5.325;5.325;2590459;1577;13789410;5.3231
06/12/2024;5.415;5.465;5.24;5.245;5.245;1696989;1604;8983652;5.2938
05/12/2024;5.265;5.42;5.235;5.405;5.405;4385966;1504;23549680;5.3693
04/12/2024;5.31;5.36;5.24;5.265;5.265;2523127;1246;13317960;5.2784
03/12/2024;5.23;5.34;5.205;5.305;5.305;3500682;1847;18526796;5.2923
02/12/2024;5.08;5.215;5.075;5.215;5.215;3023992;1460;15708865;5.1947
29/11/2024;5.09;5.165;5.055;5.15;5.15;2719340;947;13970697;5.1375
28/11/2024;5.13;5.175;5.08;5.10;5.10;1908105;986;9740337;5.1047
27/11/2024;5.18;5.185;5.00;5.11;5.11;4060254;2072;20654903;5.0871
26/11/2024;5.20;5.255;5.12;5.24;5.24;2409721;1335;12579421;5.2203
25/11/2024;5.405;5.43;5.20;5.20;5.20;13564192;1658;70676324;5.2105
22/11/2024;5.415;5.425;5.20;5.35;5.35;5378522;2388;28631819;5.3234
21/11/2024;5.41;5.45;5.215;5.40;5.40;3606552;2069;19394381;5.3775
20/11/2024;5.38;5.465;5.38;5.41;5.41;3757310;1720;20352163;5.4167
19/11/2024;5.435;5.465;5.325;5.36;5.36;4877765;2106;26188018;5.3688
18/11/2024;5.425;5.48;5.375;5.445;5.445;2656314;1142;14446875;5.4387
15/11/2024;5.365;5.465;5.325;5.43;5.43;3149388;1444;17091853;5.4270
