"Historical Data"
"From 2024-01-02 to 2024-12-16"
IE00BJMZDW83
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/12/2024;4.50;4.53;4.455;4.465;4.465;187380;357;840618;4.4862
12/12/2024;4.445;4.50;4.42;4.50;4.50;195766;196;875379;4.4716
11/12/2024;4.405;4.49;4.405;4.455;4.455;593178;456;2643201;4.4560
10/12/2024;4.50;4.50;4.395;4.425;4.425;269126;468;1189311;4.4192
09/12/2024;4.70;4.70;4.395;4.395;4.395;302068;484;1348660;4.4648
06/12/2024;4.60;4.64;4.54;4.54;4.54;303207;470;1392666;4.5931
05/12/2024;4.60;4.635;4.555;4.56;4.56;375898;477;1723530;4.5851
04/12/2024;4.50;4.575;4.465;4.565;4.565;284995;343;1295889;4.5471
03/12/2024;4.50;4.50;4.42;4.455;4.455;4495145;427;19984515;4.4458
02/12/2024;4.45;4.45;4.38;4.40;4.40;282910;313;1245244;4.4016
29/11/2024;4.445;4.445;4.38;4.405;4.405;391783;311;1728572;4.4121
28/11/2024;4.45;4.45;4.40;4.42;4.42;367115;231;1625340;4.4273
27/11/2024;4.45;4.45;4.35;4.38;4.38;407422;593;1786737;4.3855
26/11/2024;4.345;4.39;4.34;4.37;4.37;474314;388;2066978;4.3578
25/11/2024;4.45;4.45;4.305;4.38;4.38;4192122;680;18250531;4.3535
22/11/2024;4.435;4.44;4.345;4.36;4.36;414590;290;1815254;4.3784
21/11/2024;4.50;4.50;4.40;4.435;4.435;958166;738;4246725;4.4321
20/11/2024;4.44;4.495;4.41;4.42;4.42;339305;414;1503965;4.4325
19/11/2024;4.55;4.565;4.44;4.495;4.495;2207346;580;9933916;4.5004
18/11/2024;4.52;4.57;4.49;4.53;4.53;358798;375;1623041;4.5236
15/11/2024;4.49;4.58;4.465;4.515;4.515;2591818;394;11696387;4.5128
14/11/2024;4.455;4.535;4.45;4.485;4.485;613611;367;2763583;4.5038
13/11/2024;4.53;4.565;4.44;4.44;4.44;355149;365;1593392;4.4865
12/11/2024;4.54;4.605;4.48;4.52;4.52;396308;425;1804257;4.5527
11/11/2024;4.48;4.63;4.48;4.59;4.59;378799;327;1739626;4.5925
08/11/2024;4.52;4.565;4.495;4.50;4.50;669245;571;3022146;4.5158
07/11/2024;4.545;4.625;4.495;4.525;4.525;644524;655;2939623;4.5609
06/11/2024;4.44;4.625;4.44;4.565;4.565;1040298;498;4720586;4.5377
05/11/2024;4.36;4.425;4.33;4.40;4.40;1656852;507;7236754;4.3678
04/11/2024;4.34;4.38;4.325;4.35;4.35;288956;265;1258236;4.3544
01/11/2024;4.31;4.365;4.255;4.34;4.34;396527;296;1711671;4.3167
31/10/2024;4.235;4.285;4.22;4.28;4.28;4708272;465;20069254;4.2626
30/10/2024;4.22;4.275;4.165;4.22;4.22;828088;406;3492714;4.2178
29/10/2024;4.20;4.255;4.195;4.225;4.225;3418589;420;14397837;4.2116
28/10/2024;4.20;4.255;4.20;4.225;4.225;563300;328;2381340;4.2275
25/10/2024;4.295;4.295;4.21;4.215;4.215;503972;286;2128559;4.2236
24/10/2024;4.30;4.335;4.265;4.27;4.27;325704;305;1397851;4.2918
23/10/2024;4.31;4.325;4.275;4.295;4.295;1574261;235;6767427;4.2988
22/10/2024;4.235;4.305;4.23;4.29;4.29;371782;355;1593852;4.2871
21/10/2024;4.24;4.34;4.24;4.245;4.245;228711;202;975451;4.2650
18/10/2024;4.25;4.30;4.20;4.29;4.29;1857626;506;7822640;4.2111
17/10/2024;4.10;4.275;4.10;4.25;4.25;3405949;433;14315073;4.2030
16/10/2024;4.10;4.21;4.10;4.20;4.20;1573202;591;6582614;4.1842
15/10/2024;4.02;4.185;4.02;4.135;4.135;5284384;624;21398038;4.0493
14/10/2024;3.955;4.06;3.955;3.99;3.99;488801;305;1970518;4.0313
11/10/2024;4.02;4.075;3.98;4.04;4.04;840266;692;3374664;4.0162
10/10/2024;4.015;4.05;3.995;4.01;4.01;971123;668;3891883;4.0076
09/10/2024;3.96;4.03;3.96;4.00;4.00;1127705;874;4517553;4.0060
08/10/2024;3.96;3.995;3.925;3.95;3.95;2206299;828;8707704;3.9467
07/10/2024;4.01;4.04;3.975;3.975;3.975;962354;678;3848291;3.9988
04/10/2024;4.01;4.09;4.01;4.035;4.035;1231948;937;4990388;4.0508
03/10/2024;4.01;4.085;4.00;4.00;4.00;769204;461;3106070;4.0380
02/10/2024;4.145;4.145;4.01;4.01;4.01;426854;280;1720225;4.0300
01/10/2024;4.15;4.15;4.035;4.035;4.035;517661;453;2112301;4.0805
30/09/2024;4.20;4.20;4.09;4.10;4.10;414348;280;1702738;4.1094
27/09/2024;4.24;4.25;4.165;4.20;4.20;554951;380;2338878;4.2146
26/09/2024;4.20;4.245;4.14;4.185;4.185;2498236;297;10374121;4.1526
25/09/2024;4.12;4.235;4.12;4.15;4.15;4827404;381;20045070;4.1524
24/09/2024;4.12;4.20;4.08;4.15;4.15;413992;360;1718708;4.1515
23/09/2024;4.10;4.14;4.07;4.08;4.08;318171;316;1306652;4.1068
20/09/2024;4.10;4.165;4.10;4.11;4.11;6521586;411;26898450;4.1245
19/09/2024;4.14;4.19;4.10;4.15;4.15;582552;451;2415195;4.1459
18/09/2024;4.115;4.145;4.085;4.11;4.11;2712943;252;11124909;4.1007
17/09/2024;4.115;4.145;4.08;4.10;4.10;325280;208;1333742;4.1003
16/09/2024;4.00;4.085;4.00;4.05;4.05;406300;433;1644805;4.0483
13/09/2024;4.00;4.055;4.00;4.01;4.01;443490;367;1777548;4.0081
12/09/2024;4.05;4.075;3.97;3.97;3.97;737713;664;2967377;4.0224
11/09/2024;4.035;4.105;4.00;4.00;4.00;416951;649;1685767;4.0431
10/09/2024;3.92;4.045;3.92;4.025;4.025;4120230;765;16333440;3.9642
09/09/2024;3.98;3.995;3.90;3.95;3.95;423176;475;1673374;3.9543
06/09/2024;4.12;4.14;3.86;3.895;3.895;1115056;735;4433686;3.9762
05/09/2024;4.10;4.21;4.10;4.12;4.12;214231;298;888013;4.1451
04/09/2024;4.25;4.265;4.085;4.105;4.105;1298921;583;5369273;4.1336
03/09/2024;4.38;4.39;4.31;4.35;4.35;96690;149;420324;4.3471
02/09/2024;4.40;4.40;4.295;4.36;4.36;65832;122;286676;4.3547
30/08/2024;4.32;4.40;4.28;4.40;4.40;401242;368;1756168;4.3768
29/08/2024;4.38;4.38;4.26;4.33;4.33;209509;285;906148;4.3251
28/08/2024;4.35;4.39;4.30;4.375;4.375;156101;198;680733;4.3609
27/08/2024;4.355;4.40;4.33;4.40;4.40;93773;122;411356;4.3867
26/08/2024;4.44;4.44;4.355;4.395;4.395;55995;132;245829;4.3902
23/08/2024;4.345;4.44;4.345;4.395;4.395;404435;265;1772977;4.3838
22/08/2024;4.26;4.38;4.25;4.33;4.33;457526;519;1978095;4.3235
21/08/2024;4.21;4.28;4.18;4.28;4.28;129024;185;549764;4.2609
20/08/2024;4.255;4.30;4.185;4.225;4.225;106282;167;449483;4.2292
19/08/2024;4.27;4.30;4.165;4.29;4.29;444598;270;1905915;4.2868
16/08/2024;4.08;4.25;4.08;4.25;4.25;236925;260;1000454;4.2227
15/08/2024;4.08;4.20;4.08;4.18;4.18;116868;106;487312;4.1698
14/08/2024;4.08;4.17;4.08;4.11;4.11;143827;143;592410;4.1189
13/08/2024;4.21;4.21;4.12;4.125;4.125;151045;265;624141;4.1322
12/08/2024;4.115;4.195;4.075;4.185;4.185;304565;190;1268136;4.1638
09/08/2024;4.10;4.15;4.095;4.13;4.13;120504;154;497197;4.1260
