"Historical Data"
"From 2024-01-02 to 2024-12-16"
IE0004906560
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/12/2024;90.40;91.95;90.40;91.40;91.40;262596;1072;23997937;91.3873
12/12/2024;89.75;91.15;89.75;90.55;90.55;271856;1564;24584049;90.4304
11/12/2024;89.30;90.15;89.30;90.05;90.05;235558;1299;21204724;90.0191
10/12/2024;88.00;89.65;88.00;89.30;89.30;258037;1537;23030445;89.2525
09/12/2024;88.95;89.10;87.45;87.80;87.80;380975;1554;33517600;87.9785
06/12/2024;90.20;90.65;88.60;88.60;88.60;533748;1947;47622441;89.2225
05/12/2024;91.25;91.25;89.60;89.85;89.85;270525;1658;24367249;90.0745
04/12/2024;89.95;91.55;89.65;91.45;91.45;209678;1163;19147363;91.3177
03/12/2024;90.60;91.45;90.00;90.00;90.00;331518;1559;29938775;90.3081
02/12/2024;91.20;91.50;90.00;90.10;90.10;287421;1441;25945648;90.2705
29/11/2024;89.55;91.80;89.35;91.45;91.45;368897;2259;33564983;90.9874
28/11/2024;88.55;90.25;88.55;89.55;89.55;272020;1263;24404187;89.7147
27/11/2024;88.70;89.85;87.65;88.60;88.60;304159;1309;26914080;88.4869
26/11/2024;88.10;89.15;87.45;89.05;89.05;305503;1544;27114249;88.7528
25/11/2024;88.10;89.00;88.10;88.70;88.70;929435;2290;82441044;88.7002
22/11/2024;85.75;88.10;85.75;87.85;87.85;296775;1720;26006210;87.6289
21/11/2024;86.40;86.50;84.75;85.95;85.95;233348;1431;20013264;85.7657
20/11/2024;86.00;87.50;85.55;86.60;86.60;281702;1568;24379249;86.5444
19/11/2024;86.45;86.95;85.55;85.60;85.60;231554;1377;19890102;85.8983
18/11/2024;86.75;87.70;86.35;86.50;86.50;323994;1933;28151009;86.8874
15/11/2024;89.85;90.95;86.15;86.70;86.70;538879;2931;47114436;87.4307
14/11/2024;90.35;91.25;89.40;90.85;90.85;506228;1831;45874677;90.6207
13/11/2024;91.15;91.30;89.95;90.30;90.30;353185;1514;31900057;90.3211
12/11/2024;87.35;91.95;87.30;91.30;91.30;487725;3131;44297369;90.8245
