"Historical Data"
"From 2024-01-02 to 2024-12-16"
IE00BYTBXV33
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/12/2024;19.56;19.895;19.475;19.70;19.70;2308940;3510;'45771938;19.8238
12/12/2024;19.23;19.82;19.23;19.755;19.755;2104133;3276;'41713483;19.8245
11/12/2024;19.48;19.555;19.225;19.28;19.28;954387;1531;'18730717;19.6259
10/12/2024;19.40;19.45;19.24;19.305;19.305;955029;2115;'18741064;19.6236
'09/12/2024;19.545;19.635;19.34;19.48;19.48;915057;2166;'18101262;19.7816
'06/12/2024;19.545;19.81;19.38;19.43;19.43;1216402;2442;'23982292;19.7158
'05/12/2024;19.06;19.59;18.945;19.545;19.545;1702494;4187;'33269103;19.5414
'04/12/2024;19.005;19.22;18.995;19.04;19.04;1294819;2040;'24944307;19.2647
'03/12/2024;18.89;19.415;18.88;19.03;19.03;1556257;3078;'29912508;19.2208
'02/12/2024;18.54;18.85;18.46;18.795;18.795;746054;2264;'14188139;19.0176
29/11/2024;18.21;18.725;18.14;18.625;18.625;2093965;4074;'38774609;18.5173
28/11/2024;18.345;18.46;18.12;18.21;18.21;1012008;1710;'18762244;18.5396
27/11/2024;18.30;18.35;18.155;18.205;18.205;783589;1644;'14551468;18.5703
26/11/2024;18.46;18.48;18.18;18.355;18.355;1246925;2569;'23136512;18.5549
25/11/2024;18.30;18.59;18.21;18.575;18.575;2809739;3820;'51972092;18.4971
22/11/2024;18.255;18.28;18.05;18.21;18.21;913263;2137;'16846886;18.4469
21/11/2024;18.32;18.655;18.20;18.235;18.235;1890671;2956;'34892816;18.4553
20/11/2024;18.765;18.835;18.405;18.485;18.485;2103088;2812;'39349455;18.7103
19/11/2024;18.735;18.76;18.165;18.65;18.65;1245084;2763;'23354278;18.7572
18/11/2024;18.805;18.905;18.515;18.75;18.75;1664356;2986;'31461692;18.9032
15/11/2024;18.89;19.105;18.795;18.795;18.795;1566637;2434;'29891830;19.0803
14/11/2024;18.635;19.085;18.545;18.895;18.895;2072315;3433;'39387893;19.0067
13/11/2024;18.69;18.78;18.57;18.68;18.68;1258500;2309;'23866368;18.9641
12/11/2024;19.02;19.105;18.645;18.675;18.675;1404434;3193;'26799719;19.0822
11/11/2024;19.20;19.30;19.06;19.06;19.06;1600286;3371;'30950778;19.3408
