Date,Close/Last,Volume,Open,High,Low
01/29/2025,$239.36,45486100,$234.12,$239.855,$234.01
01/28/2025,$238.26,75707570,$230.85,$240.19,$230.81
01/27/2025,$229.86,94863420,$224.02,$232.15,$223.98
01/24/2025,$222.78,54697910,$224.78,$225.63,$221.41
01/23/2025,$223.66,60234760,$224.74,$227.03,$222.30
01/22/2025,$223.83,64126500,$219.79,$224.12,$219.79
01/21/2025,$222.64,98070430,$224.00,$224.42,$219.38
01/17/2025,$229.98,68488300,$232.115,$232.29,$228.48
01/16/2025,$228.26,71759050,$237.35,$238.01,$228.03
01/15/2025,$237.87,39831970,$234.635,$238.96,$234.43
01/14/2025,$233.28,39435290,$234.75,$236.12,$232.472
01/13/2025,$234.40,49630730,$233.53,$234.67,$229.72
01/10/2025,$236.85,61710860,$240.01,$240.16,$233.00
01/08/2025,$242.70,37628940,$241.92,$243.7123,$240.05
01/07/2025,$242.21,40855960,$242.98,$245.55,$241.35
01/06/2025,$245.00,45045570,$244.31,$247.33,$243.20
01/03/2025,$243.36,40244110,$243.36,$244.18,$241.89
01/02/2025,$243.85,55740730,$248.93,$249.10,$241.8201
